"tx_prof_circle","d_completed","cd_regio"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","BRU"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","BRU"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-21","VLA"
"","2020-03-21","WAL"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","WAL"
"","2020-03-21","BRU"
"","2020-03-21","WAL"
"","2020-03-21","WAL"
"","2020-03-21","WAL"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","WAL"
"","2020-03-21","WAL"
"","2020-03-21","WAL"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","WAL"
"","2020-03-21","WAL"
"","2020-03-21","VLA"
"","2020-03-21","WAL"
"","2020-03-21","WAL"
"","2020-03-21","WAL"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","WAL"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","WAL"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","WAL"
"","2020-03-21","WAL"
"","2020-03-21","BRU"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","WAL"
"","2020-03-21","BRU"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","WAL"
"","2020-03-21","VLA"
"","2020-03-21","WAL"
"","2020-03-21","WAL"
"","2020-03-21","WAL"
"","2020-03-21","VLA"
"","2020-03-21","BRU"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","WAL"
"","2020-03-21","VLA"
"","2020-03-21","WAL"
"","2020-03-21","WAL"
"","2020-03-21","WAL"
"","2020-03-21","BRU"
"","2020-03-21","VLA"
"","2020-03-21","VLA"
"","2020-03-21","WAL"
"","2020-03-21","WAL"
"","2020-03-21","WAL"
"","2020-03-21","VLA"
"","2020-03-21","BRU"
"","2020-03-21","VLA"
"","2020-03-21","WAL"
"","2020-03-21","VLA"
"","2020-03-21","WAL"
"","2020-03-21","WAL"
"","2020-03-21","VLA"
"","2020-03-21","BRU"
"","2020-03-21","VLA"
"","2020-03-21","WAL"
"","2020-03-21","VLA"
"","2020-03-21","WAL"
"","2020-03-22","WAL"
"","2020-03-22","VLA"
"","2020-03-22","VLA"
"","2020-03-22","VLA"
"","2020-03-22","WAL"
"","2020-03-22","WAL"
"","2020-03-22","BRU"
"","2020-03-22","WAL"
"","2020-03-22","VLA"
"","2020-03-22","WAL"
"","2020-03-22","WAL"
"","2020-03-22","VLA"
"","2020-03-22","VLA"
"","2020-03-22","VLA"
"","2020-03-22","BRU"
"","2020-03-22","VLA"
"","2020-03-22","BRU"
"","2020-03-22","VLA"
"","2020-03-22","WAL"
"","2020-03-22","VLA"
"","2020-03-22","VLA"
"","2020-03-22","VLA"
"","2020-03-22","WAL"
"","2020-03-22","WAL"
"","2020-03-22","BRU"
"","2020-03-22","VLA"
"","2020-03-22","WAL"
"","2020-03-22","VLA"
"","2020-03-22","VLA"
"","2020-03-22","VLA"
"","2020-03-22","BRU"
"","2020-03-22","VLA"
"","2020-03-22","WAL"
"","2020-03-22","VLA"
"","2020-03-22","VLA"
"","2020-03-22","VLA"
"","2020-03-22","VLA"
"","2020-03-22","VLA"
"","2020-03-22","BRU"
"","2020-03-22","VLA"
"","2020-03-22","WAL"
"","2020-03-22","VLA"
"","2020-03-22","WAL"
"","2020-03-22","VLA"
"","2020-03-22","VLA"
"","2020-03-22","VLA"
"","2020-03-22","VLA"
"","2020-03-22","VLA"
"","2020-03-22","BRU"
"","2020-03-22","WAL"
"","2020-03-22","WAL"
"","2020-03-22","VLA"
"","2020-03-22","WAL"
"","2020-03-22","BRU"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","BRU"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","BRU"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","WAL"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","BRU"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","BRU"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","BRU"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","BRU"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","BRU"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","WAL"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
"","2020-03-23","VLA"
